country,dir,time,number
Republic of Central African,Export,7/1/2020,18.238664
Republic of Central African,Export,8/1/2020,12.091733
Republic of Central African,Export,9/1/2020,15.050105
Republic of Central African,Export,10/1/2020,12.543791
Republic of Central African,Export,11/1/2020,17.474562
Republic of Central African,Export,12/1/2020,13.578954
Republic of Central African,Export,1/1/2021,17.873955
Republic of Central African,Export,2/1/2021,12.259669
Republic of Central African,Export,3/1/2021,21.537193
Ceuta,Export,6/1/2020,0.760349
Ceuta,Export,7/1/2020,0.000785
Ceuta,Export,8/1/2020,0.00311
Ceuta,Export,9/1/2020,0
Ceuta,Export,10/1/2020,0.282262
Ceuta,Export,11/1/2020,1.170598
Ceuta,Export,12/1/2020,0.002902
Ceuta,Export,1/1/2021,0.042961
Ceuta,Export,2/1/2021,0
Ceuta,Export,3/1/2021,0.008306
Chad,Export,6/1/2020,136.941086
Chad,Export,7/1/2020,110.048275
Chad,Export,8/1/2020,162.510128
Chad,Export,9/1/2020,82.349159
Chad,Export,10/1/2020,97.088936
Chad,Export,11/1/2020,136.592164
Chad,Export,12/1/2020,161.432927
Chad,Export,1/1/2021,99.706536
Chad,Export,2/1/2021,113.25716
Chad,Export,3/1/2021,351.38005
Comoros,Export,6/1/2020,36.646557
Comoros,Export,7/1/2020,49.277257
Comoros,Export,8/1/2020,27.085064
Comoros,Export,9/1/2020,33.551093
Comoros,Export,10/1/2020,32.244622
Comoros,Export,11/1/2020,37.002248
Comoros,Export,12/1/2020,29.650624
Comoros,Export,1/1/2021,35.632835
Comoros,Export,2/1/2021,16.471809
Comoros,Export,3/1/2021,37.206525
Republic of Congo,Export,6/1/2020,431.081084
Republic of Congo,Export,7/1/2020,420.844249
Republic of Congo,Export,8/1/2020,395.154767
Republic of Congo,Export,9/1/2020,481.569605
Republic of Congo,Export,10/1/2020,341.625907
Republic of Congo,Export,11/1/2020,467.675437
Republic of Congo,Export,12/1/2020,465.935485
Republic of Congo,Export,1/1/2021,359.105465
Republic of Congo,Export,2/1/2021,343.724734
Republic of Congo,Export,3/1/2021,258.553093
Djibouti,Export,6/1/2020,1877.999608
Djibouti,Export,7/1/2020,1353.352862
Djibouti,Export,8/1/2020,1403.702212
Djibouti,Export,9/1/2020,1299.083071
Djibouti,Export,10/1/2020,1506.521246
Djibouti,Export,11/1/2020,1444.971302
Djibouti,Export,12/1/2020,1830.670976
Djibouti,Export,1/1/2021,1576.951796
Djibouti,Export,2/1/2021,1218.450036
Djibouti,Export,3/1/2021,1377.403042
Egypt,Export,6/1/2020,8113.957198
Egypt,Export,7/1/2020,8421.271813
Egypt,Export,8/1/2020,7790.173452
Egypt,Export,9/1/2020,7546.27386
Egypt,Export,10/1/2020,7717.532353
Egypt,Export,11/1/2020,9717.64257
Egypt,Export,12/1/2020,10442.1369
Egypt,Export,1/1/2021,11098.45214
Egypt,Export,2/1/2021,6516.350739
Egypt,Export,3/1/2021,6633.936971
Eq. Guinea,Export,6/1/2020,60.705833
Eq. Guinea,Export,7/1/2020,76.155053
Eq. Guinea,Export,8/1/2020,79.91845
Eq. Guinea,Export,9/1/2020,108.329949
Eq. Guinea,Export,10/1/2020,81.456187
Eq. Guinea,Export,11/1/2020,90.688723
Eq. Guinea,Export,12/1/2020,99.008114
Eq. Guinea,Export,1/1/2021,75.998423
Eq. Guinea,Export,2/1/2021,41.97139
Eq. Guinea,Export,3/1/2021,54.257543
Ethiopia,Export,6/1/2020,1424.277646
Ethiopia,Export,7/1/2020,1354.257911
Ethiopia,Export,8/1/2020,1228.418547
Ethiopia,Export,9/1/2020,1299.157169
Ethiopia,Export,10/1/2020,1287.005991
